City;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90+;Gender
Ordu-52;25097.0;26057.0;23704.0;23677.0;26509.0;24955.0;26393.0;23682.0;25628.0;22498.0;18606.0;15464.0;11091.0;7453.0;4809.0;2487.0;F
Osmaniye-80;21720.0;18501.0;18190.0;18340.0;19938.0;18410.0;17919.0;14557.0;13502.0;10944.0;9100.0;6696.0;4207.0;2612.0;1568.0;806.0;F
Rize-53;12025.0;13148.0;11751.0;11375.0;11549.0;11381.0;12187.0;11425.0;11014.0;9634.0;7215.0;6274.0;5008.0;3503.0;2390.0;1215.0;F
Sakarya-54;38564.0;40527.0;37556.0;37694.0;40111.0;37546.0;35150.0;30176.0;29315.0;24889.0;18647.0;14562.0;9671.0;6128.0;3907.0;1620.0;F
Samsun-55;49425.0;50491.0;46078.0;46460.0;50479.0;47598.0;47513.0;42190.0;44275.0;35268.0;29070.0;22800.0;15875.0;9840.0;6841.0;2849.0;F
Şanlıurfa-63;103064.0;89985.0;86028.0;71964.0;61252.0;48099.0;41050.0;30560.0;29108.0;20209.0;15426.0;12533.0;8031.0;5523.0;3171.0;2072.0;F
Siirt-56;18127.0;16945.0;14295.0;10925.0;9578.0;7415.0;6395.0;4873.0;4222.0;3485.0;3123.0;2508.0;1737.0;1028.0;649.0;474.0;F
Sinop-57;6899.0;7548.0;6331.0;6559.0;6943.0;6188.0;6721.0;6627.0;8062.0;7483.0;6556.0;5699.0;4568.0;2862.0;1826.0;726.0;F
Şırnak-73;28883.0;24931.0;24707.0;17015.0;15267.0;11701.0;9090.0;6555.0;4930.0;3855.0;3389.0;2573.0;1626.0;1160.0;893.0;737.0;F
Sivas-58;25983.0;29460.0;22554.0;21215.0;21166.0;19932.0;19309.0;17194.0;18204.0;15948.0;13831.0;12270.0;8469.0;5055.0;3179.0;1361.0;F
